date,adj close_aapl,close_aapl,high_aapl,low_aapl,open_aapl,volume_aapl
1980-12-12,0.0988344699144363,0.1283479928970337,0.1289059966802597,0.1283479928970337,0.1283479928970337,469033600
1980-12-15,0.0936782211065292,0.1216519996523857,0.1222100034356117,0.1216519996523857,0.1222100034356117,175884800
1980-12-16,0.0868024379014968,0.1127230003476142,0.1132809966802597,0.1127230003476142,0.1132809966802597,105728000
1980-12-17,0.0889508798718452,0.1155129969120025,0.1160710006952285,0.1155129969120025,0.1155129969120025,86441600
1980-12-18,0.0915297791361808,0.1188620030879974,0.1194199994206428,0.1188620030879974,0.1188620030879974,73449600
1980-12-19,0.0971157178282737,0.1261159926652908,0.1266739964485168,0.1261159926652908,0.1261159926652908,48630400
1980-12-22,0.1018422842025756,0.1322540044784546,0.1328130066394806,0.1322540044784546,0.1322540044784546,37363200
1980-12-23,0.1061399430036544,0.1378349959850311,0.1383929997682571,0.1378349959850311,0.1378349959850311,46950400
1980-12-24,0.1117258816957473,0.1450890004634857,0.1456470042467117,0.1450890004634857,0.1450890004634857,48003200
1980-12-26,0.1220391988754272,0.1584820002317428,0.1590400040149688,0.1584820002317428,0.1584820002317428,55574400
1980-12-29,0.1237579584121704,0.1607140004634857,0.1612720042467117,0.1607140004634857,0.1607140004634857,93161600
1980-12-30,0.1207501962780952,0.156808003783226,0.1573659926652908,0.156808003783226,0.1573659926652908,68880000
1980-12-31,0.1173125579953193,0.1523440033197403,0.1529020071029663,0.1523440033197403,0.1529020071029663,35750400
1981-01-02,0.1186016574501991,0.1540179997682571,0.1551340073347091,0.1540179997682571,0.1540179997682571,21660800
1981-01-05,0.1160235852003097,0.1506700068712234,0.1512279957532882,0.1506700068712234,0.1512279957532882,35728000
1981-01-06,0.1108664870262146,0.1439729928970337,0.1445309966802597,0.1439729928970337,0.1445309966802597,45158400
1981-01-07,0.1061399430036544,0.1378349959850311,0.1383929997682571,0.1378349959850311,0.1383929997682571,55686400
1981-01-08,0.1039915159344673,0.1350450068712234,0.1356029957532882,0.1350450068712234,0.1356029957532882,39827200
1981-01-09,0.1095774546265602,0.1422989964485168,0.1428570002317428,0.1422989964485168,0.1422989964485168,21504000
1981-01-12,0.108718067407608,0.141183003783226,0.1422989964485168,0.141183003783226,0.1422989964485168,23699200
1981-01-13,0.1048508957028389,0.1361609995365142,0.1367190033197403,0.1361609995365142,0.1367190033197403,23049600
1981-01-14,0.1052805408835411,0.1367190033197403,0.1372770071029663,0.1367190033197403,0.1367190033197403,14291200
1981-01-15,0.107429027557373,0.1395090073347091,0.140625,0.1395090073347091,0.1395090073347091,14067200
1981-01-16,0.1065695881843566,0.1383929997682571,0.1389510035514831,0.1383929997682571,0.1389510035514831,13395200
1981-01-19,0.1130149811506271,0.1467629969120025,0.1473210006952285,0.1467629969120025,0.1467629969120025,41574400
1981-01-20,0.1095774546265602,0.1422989964485168,0.1428570002317428,0.1422989964485168,0.1428570002317428,30083200
1981-01-21,0.1117258816957473,0.1450890004634857,0.1462049931287765,0.1450890004634857,0.1450890004634857,15904000
1981-01-22,0.1130149811506271,0.1467629969120025,0.1478790044784546,0.1467629969120025,0.1467629969120025,35548800
